task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_data,2024-05-26T10:44:45,assignment2_neural_network,841b7746-fcf5-45a0-8c87-bd06a496473c,0.38564610481262207,3.960061683573807e-06,1.019815383687718e-05,62.5,0.0,141.20075225830078,6.739203300740984e-06,0,1.521016806782427e-05,2.1949371368565256e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
vectorizer,2024-05-26T10:44:45,assignment2_neural_network,841b7746-fcf5-45a0-8c87-bd06a496473c,0.001239776611328125,1.0005420127886388e-08,7.787302591218109e-06,62.5,0.0,141.20075225830078,2.0501514275868722e-08,0,3.4955369892487143e-08,5.545688416835502e-08,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
fitting,2024-05-26T10:44:58,assignment2_neural_network,841b7746-fcf5-45a0-8c87-bd06a496473c,13.891229391098022,0.00014164751254250958,1.0208055305187563e-05,62.5,0.0,141.20075225830078,0.00024090118292305205,0,0.0005442062483892869,0.000785107431312339,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
predictions,2024-05-26T10:44:58,assignment2_neural_network,841b7746-fcf5-45a0-8c87-bd06a496473c,0.008753061294555664,6.263736255468868e-08,8.625086681306006e-06,62.5,0.0,141.20075225830078,1.1987570259304383e-07,0,2.2730341786428906e-07,3.471791204573329e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
confusion_matrix,2024-05-26T10:44:59,assignment2_neural_network,841b7746-fcf5-45a0-8c87-bd06a496473c,0.5307791233062744,5.43736597289127e-06,1.0202276950478999e-05,62.5,0.0,141.20075225830078,9.25095544921029e-06,0,2.0886647078759732e-05,3.0137602527969968e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
classification_report,2024-05-26T10:44:59,assignment2_neural_network,841b7746-fcf5-45a0-8c87-bd06a496473c,0.030297279357910156,3.0560163757507777e-07,1.0117021617791399e-05,62.5,0.0,141.20075225830078,5.22885885503551e-07,0,1.1709674859730537e-06,1.6938533714766588e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
loss_curve,2024-05-26T10:44:59,assignment2_neural_network,841b7746-fcf5-45a0-8c87-bd06a496473c,0.17615628242492676,1.7950275123055498e-06,1.0189130365608469e-05,62.5,0.0,141.20075225830078,3.056526184082016e-06,0,6.892744466881575e-06,9.949270650963645e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
save_model,2024-05-26T10:44:59,assignment2_neural_network,841b7746-fcf5-45a0-8c87-bd06a496473c,0.006512641906738281,6.155134638471038e-08,9.661142816659541e-06,62.5,0.0,141.20075225830078,1.0852598481708199e-07,0,2.3263369096186703e-07,3.41159675778949e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
