task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_data,2024-05-03T13:09:15,assignment2_neural_network,11242f63-a47c-4eb6-8775-bb319d457c32,0.37320494651794434,3.443461126378112e-06,9.19560048758159e-06,42.5,0.0,141.20075225830078,4.419593513011933e-06,0,1.4666424103734243e-05,1.9086017616746176e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
vectorizer,2024-05-03T13:09:15,assignment2_neural_network,11242f63-a47c-4eb6-8775-bb319d457c32,0.0011951923370361328,8.190230868751411e-09,6.679431867339591e-06,42.5,0.0,141.20075225830078,1.3273954391479685e-08,0,3.2121908930093354e-08,4.5395863321571344e-08,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
fitting,2024-05-03T13:09:30,assignment2_neural_network,11242f63-a47c-4eb6-8775-bb319d457c32,14.68289589881897,0.00013516199004475854,9.205834756041133e-06,42.5,0.0,141.20075225830078,0.0001733299651079708,0,0.0005758302630552862,0.0007491602281632571,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
predictions,2024-05-03T13:09:30,assignment2_neural_network,11242f63-a47c-4eb6-8775-bb319d457c32,0.008532524108886719,5.3959393156384526e-08,7.742272118000692e-06,42.5,0.0,141.20075225830078,7.879932721456084e-08,0,2.2028054927434454e-07,2.990798764889325e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
confusion_matrix,2024-05-03T13:09:30,assignment2_neural_network,11242f63-a47c-4eb6-8775-bb319d457c32,0.3630073070526123,3.349908720736745e-06,9.197158315368038e-06,42.5,0.0,141.20075225830078,4.298850066132006e-06,0,1.426863610895447e-05,1.856748617508645e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
classification_report,2024-05-03T13:09:30,assignment2_neural_network,11242f63-a47c-4eb6-8775-bb319d457c32,0.033266305923461914,3.018554324403196e-07,9.106149154573758e-06,42.5,0.0,141.20075225830078,3.90064550770641e-07,0,1.2830247886540204e-06,1.6730893394247427e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
loss_curve,2024-05-03T13:09:30,assignment2_neural_network,11242f63-a47c-4eb6-8775-bb319d457c32,0.10944294929504395,1.0042776527274756e-06,9.178205813277251e-06,42.5,0.0,141.20075225830078,1.2906077835294879e-06,0,4.275786105813455e-06,5.566393889342943e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
save_model,2024-05-03T13:09:30,assignment2_neural_network,11242f63-a47c-4eb6-8775-bb319d457c32,0.007390737533569336,6.389818360820715e-08,8.777663744166564e-06,42.5,0.0,141.20075225830078,8.467071586185939e-08,0,2.6949673754184025e-07,3.5416745340372674e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
