task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
args,2024-05-03T13:24:05,assignment3,6af35d92-e2d5-423f-b08b-51dd49f19f69,0.004576683044433594,7.008325835588518e-08,8.64585696212014e-06,42.5,0.0,141.20075225830078,9.656548500061036e-08,0,2.918838845516803e-07,3.8844936955229063e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Load_model,2024-05-03T13:24:21,assignment3,6af35d92-e2d5-423f-b08b-51dd49f19f69,16.451181650161743,0.0001514443461758364,9.205945594457649e-06,42.5,0.0,141.20075225830078,0.00019420812212758595,0,0.0006452000642830626,0.0008394081864106485,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load_data,2024-05-03T13:24:22,assignment3,6af35d92-e2d5-423f-b08b-51dd49f19f69,0.6863410472869873,6.312222446765614e-06,9.200520106838765e-06,42.5,0.0,141.20075225830078,8.098223970996022e-06,0,2.688843172170437e-05,3.498665569270042e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
most_similar,2024-05-03T13:24:22,assignment3,6af35d92-e2d5-423f-b08b-51dd49f19f69,0.10008573532104492,5.477927131925799e-07,9.137185157360865e-06,42.5,0.0,141.20075225830078,7.064918677012215e-07,0,2.329750154672237e-06,3.0362420223734856e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
search_songs,2024-05-03T13:24:22,assignment3,6af35d92-e2d5-423f-b08b-51dd49f19f69,0.1045219898223877,9.681763221999317e-07,9.15049691269241e-06,42.5,0.0,141.20075225830078,1.2468735376993908e-06,0,4.11942207692844e-06,5.366295614627858e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
song_counter,2024-05-03T13:24:22,assignment3,6af35d92-e2d5-423f-b08b-51dd49f19f69,0.011243104934692383,1.0745612432139554e-07,9.009748362100724e-06,42.5,0.0,141.20075225830078,1.3989441924626075e-07,0,4.557009444169924e-07,5.955953636632531e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
results,2024-05-03T13:24:22,assignment3,6af35d92-e2d5-423f-b08b-51dd49f19f69,0.0008840560913085938,6.405694442219133e-09,6.871465427564572e-06,42.5,0.0,141.20075225830078,1.0087754991310992e-08,0,2.5416986454765422e-08,3.5504741446130625e-08,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
