task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_data,2024-05-26T10:41:57,assignment2_logistic_regression,aa51c048-39c8-4b76-b1ad-223797ec7a5c,0.3687403202056885,3.7871292171771194e-06,1.0198318911598782e-05,62.5,0.0,141.20075225830078,6.445116466946072e-06,0,1.4545744850533994e-05,2.0990861317480067e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
vectorizer,2024-05-26T10:41:57,assignment2_logistic_regression,aa51c048-39c8-4b76-b1ad-223797ec7a5c,0.0012698173522949219,1.021131068629624e-08,7.708664733040869e-06,62.5,0.0,141.20075225830078,2.11844841639203e-08,0,3.5413586351751246e-08,5.659807051567239e-08,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
fitting,2024-05-26T10:42:08,assignment2_logistic_regression,aa51c048-39c8-4b76-b1ad-223797ec7a5c,10.577089786529541,0.00010795271614067696,1.020803387003248e-05,62.5,0.0,141.20075225830078,0.00018359640406237707,0,0.00041475141123696634,0.0005983478152993435,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
predictions,2024-05-26T10:42:08,assignment2_logistic_regression,aa51c048-39c8-4b76-b1ad-223797ec7a5c,0.0014369487762451172,1.3390312188278652e-08,8.453196865223645e-06,62.5,0.0,141.20075225830078,2.5965273380283878e-08,0,4.8252998567459553e-08,7.421827194779764e-08,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
confusion_matrix,2024-05-26T10:42:08,assignment2_logistic_regression,aa51c048-39c8-4b76-b1ad-223797ec7a5c,0.15585899353027344,1.5865666137653825e-06,1.0184391778438824e-05,62.5,0.0,141.20075225830078,2.7025325430764116e-06,0,6.091305176914833e-06,8.793837719991244e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
classification_report,2024-05-26T10:42:08,assignment2_logistic_regression,aa51c048-39c8-4b76-b1ad-223797ec7a5c,0.03810000419616699,3.8594971819739946e-07,1.0124527461937265e-05,62.5,0.0,141.20075225830078,6.598689489894453e-07,0,1.4793284603456503e-06,2.1391974093350414e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
cross_validation,2024-05-26T10:42:26,assignment2_logistic_regression,aa51c048-39c8-4b76-b1ad-223797ec7a5c,18.23840045928955,0.00018617756669547596,1.020841884620554e-05,62.5,0.0,141.20075225830078,0.00031662344932556155,0,0.0007153000100602867,0.001031923459385848,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
save_model,2024-05-26T10:42:26,assignment2_logistic_regression,aa51c048-39c8-4b76-b1ad-223797ec7a5c,0.00315093994140625,2.8337562950743553e-08,9.111955967077239e-06,62.5,0.0,141.20075225830078,5.208783679540568e-08,0,1.0497832595313811e-07,1.5706616274843536e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
