task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_data,2024-05-26T13:15:42,assignment4_plotting,2d67120a-7d2e-4c89-ae54-657aacfb2834,0.018749475479125977,1.908755472842457e-07,9.017684968196675e-06,42.5,0.0,141.20075225830078,2.485094798935784e-07,0,8.094534023257438e-07,1.0579628822193221e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
emotion_distribution,2024-05-26T13:15:43,assignment4_plotting,2d67120a-7d2e-4c89-ae54-657aacfb2834,1.1412460803985596,1.0495063372547222e-05,9.20304240906941e-06,42.5,0.0,141.20075225830078,1.3461557361814712e-05,0,4.470926468779908e-05,5.817082204961379e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
relative_frequency,2024-05-26T13:15:44,assignment4_plotting,2d67120a-7d2e-4c89-ae54-657aacfb2834,1.268651008605957,1.16561796725764e-05,9.199106277897144e-06,42.5,0.0,141.20075225830078,1.4956422481271957e-05,0,4.965010055177572e-05,6.460652303304768e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
