task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_data,2024-05-03T13:07:08,assignment2_logistic_regression,e778ac4c-e00e-4ba4-ba13-b1e927e133c1,0.38099050521850586,3.522322039883853e-06,9.195704071349436e-06,42.5,0.0,141.20075225830078,4.520831339889103e-06,0,1.5002287417019034e-05,1.952311875690814e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
vectorizer,2024-05-03T13:07:08,assignment2_logistic_regression,e778ac4c-e00e-4ba4-ba13-b1e927e133c1,0.0010273456573486328,7.201950288737641e-09,6.668249206148663e-06,42.5,0.0,141.20075225830078,1.1658337381150628e-08,0,2.8259798773433697e-08,3.991813615458517e-08,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
fitting,2024-05-03T13:07:19,assignment2_logistic_regression,e778ac4c-e00e-4ba4-ba13-b1e927e133c1,10.561367750167847,9.721641241623464e-05,9.205542080397655e-06,42.5,0.0,141.20075225830078,0.0001246725486384498,0,0.00041416732552174834,0.0005388398741601982,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
predictions,2024-05-03T13:07:19,assignment2_logistic_regression,e778ac4c-e00e-4ba4-ba13-b1e927e133c1,0.0013935565948486328,1.0487869004562208e-08,7.313268647932051e-06,42.5,0.0,141.20075225830078,1.595632897482429e-08,0,4.217461696499544e-08,5.813094593979263e-08,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
confusion_matrix,2024-05-03T13:07:19,assignment2_logistic_regression,e778ac4c-e00e-4ba4-ba13-b1e927e133c1,0.1571331024169922,1.4397061139567047e-06,9.181643771865657e-06,42.5,0.0,141.20075225830078,1.8497604462835548e-06,0,6.130075900182431e-06,7.979836346466013e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
classification_report,2024-05-03T13:07:19,assignment2_logistic_regression,e778ac4c-e00e-4ba4-ba13-b1e927e133c1,0.0429229736328125,3.9145364324305024e-07,9.126652075158276e-06,42.5,0.0,141.20075225830078,5.050970448388086e-07,0,1.664606882945932e-06,2.1697039277846593e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
cross_validation,2024-05-03T13:07:37,assignment2_logistic_regression,e778ac4c-e00e-4ba4-ba13-b1e927e133c1,17.831382513046265,0.00016415065422379174,9.206002798974532e-06,42.5,0.0,141.20075225830078,0.0002105008934934934,0,0.0006993343459160543,0.0009098352394095475,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
save_model,2024-05-03T13:07:37,assignment2_logistic_regression,e778ac4c-e00e-4ba4-ba13-b1e927e133c1,0.0029973983764648438,2.4603865037399562e-08,8.197973430396022e-06,42.5,0.0,141.20075225830078,3.431075149110162e-08,0,1.020607027840334e-07,1.363714542750808e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
