task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_model,2024-05-03T16:51:05,assignment4,cc678857-7b3e-44f0-9ce1-8a4ac41477de,7.0517497062683105,6.493015181246954e-05,9.205678120817826e-06,42.5,0.0,141.20075225830078,8.326633373896283e-05,0,0.0002766209935369716,0.0003598873272759344,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load_data,2024-05-03T16:51:05,assignment4,cc678857-7b3e-44f0-9ce1-8a4ac41477de,0.05942845344543457,5.408046167710971e-07,9.138444362111394e-06,42.5,0.0,141.20075225830078,6.9726258516311e-07,0,2.300246625509296e-06,2.997509210672406e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
generate_labels,2024-05-03T17:34:47,assignment4,cc678857-7b3e-44f0-9ce1-8a4ac41477de,2621.3357169628143,0.024132971766033233,9.206365636839324e-06,42.5,0.0,141.20075225830078,0.030946318989992144,0,0.10281512258475775,0.1337614415747499,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
simple_data,2024-05-03T17:34:47,assignment4,cc678857-7b3e-44f0-9ce1-8a4ac41477de,0.004963874816894531,4.156745419744978e-08,8.567397514013779e-06,42.5,0.0,141.20075225830078,5.6104693148262275e-08,0,1.7429057892759392e-07,2.303952720827951e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
save_data,2024-05-03T17:34:47,assignment4,cc678857-7b3e-44f0-9ce1-8a4ac41477de,0.02505970001220703,2.286903767120818e-07,9.092948598940084e-06,42.5,0.0,141.20075225830078,2.9570013284838104e-07,0,9.718584073892256e-07,1.267558540241076e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
