task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_model,2024-05-03T12:59:38,assignment1,2dcb2793-6a83-4717-8fb6-27c95ef9d8c0,1.3503499031066895,1.2430979535948357e-05,9.19995129846428e-06,42.5,0.0,141.20075225830078,1.5951014889611137e-05,0,5.29499791129183e-05,6.890099400252944e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
data_processing,2024-05-03T13:02:17,assignment1,2dcb2793-6a83-4717-8fb6-27c95ef9d8c0,159.9132103919983,0.00147221433497054,9.206339923880742e-06,42.5,0.0,141.20075225830078,0.0018878616407513621,0,0.006272157509059298,0.00816001914981066,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
